Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets
Ramjubhai Shaikh,LIMBAYAT,0,Illiterate,23000, 0,IND,"Rs 23,000 ~ 23 Thou+"
Azim Saiyad,LIMBAYAT,0,5th Pass,23800, 0,IND,"Rs 23,800 ~ 23 Thou+"
Patel Aamin Abdul Ghafar,LIMBAYAT,0,8th Pass,24000, 0,IND,"Rs 24,000 ~ 24 Thou+"
Shah Aiyub,LIMBAYAT,0,Illiterate,24000, 0,IND,"Rs 24,000 ~ 24 Thou+"
Javid Shaikh,LIMBAYAT,0,Illiterate,25000, 0,IND,"Rs 25,000 ~ 25 Thou+"
Nasrinbano Shaikh,LIMBAYAT,0,Illiterate,25000, 0,IND,"Rs 25,000 ~ 25 Thou+"
Mohshin Shah,LIMBAYAT,0,Illiterate,29000, 0,IND,"Rs 29,000 ~ 29 Thou+"
Pathan Bashirkhan,LIMBAYAT,0,5th Pass,29000, 0,IND,"Rs 29,000 ~ 29 Thou+"
Shaikh Salman,LIMBAYAT,0,5th Pass,30000, 0,IND,"Rs 30,000 ~ 30 Thou+"
Hamid Shaikh,LIMBAYAT,1,Illiterate,43000, 0,IND,"Rs 43,000 ~ 43 Thou+"
Mohammad Nafis Islam Khan,LIMBAYAT,0,Illiterate,45217, 0,IND,"Rs 45,217 ~ 45 Thou+"
Saiyad Suraiya Latif,LIMBAYAT,0,Literate,51000, 0,IND,"Rs 51,000 ~ 51 Thou+"
Faruk Khan,LIMBAYAT,0,8th Pass,75000, 0,IND,"Rs 75,000 ~ 75 Thou+"
Shaikh Subhan Abudulla,LIMBAYAT,0,Literate,80000, 0,SP,"Rs 80,000 ~ 80 Thou+"
Vasim Shaikh,LIMBAYAT,0,Illiterate,95000, 0,IND,"Rs 95,000 ~ 95 Thou+"
Saiyad Mehmud,LIMBAYAT,0,8th Pass,120000, 0,IND,"Rs 1,20,000 ~ 1 Lacs+"
Ramzan Mansuri (Varisht Partrakar),LIMBAYAT,0,10th Pass,123000, 0,Log Party,"Rs 1,23,000 ~ 1 Lacs+"
Ayaz Kazi,LIMBAYAT,0,Illiterate,140000, 37980,BSP,"Rs 1,40,000 ~ 1 Lacs+"
Shah Firoj Supadubhai,LIMBAYAT,0,5th Pass,151000, 0,IND,"Rs 1,51,000 ~ 1 Lacs+"
Abdul Bashir Shaikh,LIMBAYAT,2,5th Pass,180510, 0,All India Majlis-E-Ittehadul Muslimeen,"Rs 1,80,510 ~ 1 Lacs+"
Anishaben Kureshi,LIMBAYAT,0,Literate,199500, 0,IND,"Rs 1,99,500 ~ 1 Lacs+"
Sami Akhtar Isaf Mohammad Shaikh,LIMBAYAT,0,5th Pass,275000, 0,IND,"Rs 2,75,000 ~ 2 Lacs+"
Bharatbhai B. Patel,LIMBAYAT,0,5th Pass,415000, 0,CPI(M),"Rs 4,15,000 ~ 4 Lacs+"
Gopal D. Patil,LIMBAYAT,0,8th Pass,450000, 0,INC,"Rs 4,50,000 ~ 4 Lacs+"
Raybole Panjab,LIMBAYAT,0,10th Pass,506000, 0,IND,"Rs 5,06,000 ~ 5 Lacs+"
Rani Aziz Shaikh,LIMBAYAT,0,10th Pass,559500, 0,Rashtriya Samaj Paksha,"Rs 5,59,500 ~ 5 Lacs+"
