Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets
Meghwal Nagshi Khamubhai,ABDASA,0,5th Pass,955000, 0,BSP,"Rs 9,55,000 ~ 9 Lacs+"
Mamubhai Mandabhai Rabari,ABDASA,0,8th Pass,1192000, 600000,IND,"Rs 11,92,000 ~ 11 Lacs+"
K. D. Jadeja,ABDASA,0,Graduate,1430000, 0,Praja Vijay Paksh,"Rs 14,30,000 ~ 14 Lacs+"
Uthar Razak Alimamad,ABDASA,1,Graduate,1561000, 300000,IND,"Rs 15,61,000 ~ 15 Lacs+"
Bhanushali Suresh Manji Mange,ABDASA,0,8th Pass,2319200, 0,IND,"Rs 23,19,200 ~ 23 Lacs+"
Vasantbhai Valji Khetani,ABDASA,1,8th Pass,3167778, 0,AAP,"Rs 31,67,778 ~ 31 Lacs+"
Jat Mamad Jung,ABDASA,0,Literate,3397899, 300000,INC,"Rs 33,97,899 ~ 33 Lacs+"
Joshi Jagdishchandra Kakulal,ABDASA,0,10th Pass,12592758, 0,SP,"Rs 1,25,92,758 ~ 1 Crore+"
Jadeja Pradhyumansinh Mahipatsinh,ABDASA,0,Literate,13023913, 1580000,BJP,"Rs 1,30,23,913 ~ 1 Crore+"
Hakumatsinh Juvansinh Jadeja,ABDASA,0,Graduate,28638807, 2019422,IND,"Rs 2,86,38,807 ~ 2 Crore+"
Ravi Dhanani,AMRELI,0,Graduate,1028500, 200000,AAP,"Rs 10,28,500 ~ 10 Lacs+"
Vinubhai Chavada,AMRELI,0,5th Pass,2052000, 100000,IND,"Rs 20,52,000 ~ 20 Lacs+"
Gohil Mukeshbhai Khimajibhai,AMRELI,0,12th Pass,7131888, 0,Vyavastha Parivartan Party,"Rs 71,31,888 ~ 71 Lacs+"
Dhanani Pareshkumar Dhirajlal,AMRELI,0,Graduate,19453081, 100000,INC,"Rs 1,94,53,081 ~ 1 Crore+"
Kaushik Kantibhai Vekariya,AMRELI,0,Graduate,35690630, 0,BJP,"Rs 3,56,90,630 ~ 3 Crore+"
Ramesh Jakharabhai Kodecha,ANJAR,0,5th Pass,70387, 0,IND,"Rs 70,387 ~ 70 Thou+"
Chavda Sudha Bakul,ANJAR,0,Graduate Professional,485000, 0,BSP,"Rs 4,85,000 ~ 4 Lacs+"
Roshanali Ibrahim Sandhani,ANJAR,0,5th Pass,845850, 70000,SDPI,"Rs 8,45,850 ~ 8 Lacs+"
Arjanbhai Chanabhai Rabari,ANJAR,0,Literate,3696500, 1185000,AAP,"Rs 36,96,500 ~ 36 Lacs+"
Kakal Ganibhai Adambhai,ANJAR,2,8th Pass,5600000, 2243357,Gujarat Sarva Samaj Party,"Rs 56,00,000 ~ 56 Lacs+"
Chhanga Trikam Bijal,ANJAR,0,Graduate Professional,9931399, 499406,BJP,"Rs 99,31,399 ~ 99 Lacs+"
Dangar Rameshbhai Shamjibhai,ANJAR,1,5th Pass,28503885, 8603096,INC,"Rs 2,85,03,885 ~ 2 Crore+"
Jitendrasingh Rajawat,ANKLESHWAR,0,10th Pass,5742378, 1200000,Praja Vijay Paksh,"Rs 57,42,378 ~ 57 Lacs+"
Ankurkumar Laxmanbhai Patel,ANKLESHWAR,0,Others,17414200, 2000000,AAP,"Rs 1,74,14,200 ~ 1 Crore+"
Vijaysinh Thakorbhai Patel (Vallabhdas),ANKLESHWAR,2,Graduate,26357525, 514286,INC,"Rs 2,63,57,525 ~ 2 Crore+"
Ishwarsinh Thakorbhai Patel,ANKLESHWAR,0,Graduate,47887600, 7420975,BJP,"Rs 4,78,87,600 ~ 4 Crore+"
Rathod Dineshkumar Lallubhai,BARDOLI (SC),0,8th Pass,719877, 0,IND,"Rs 7,19,877 ~ 7 Lacs+"
Sushilaben Rameshbhai Wagh,BARDOLI (SC),0,Graduate Professional,15075000, 566000,BSP,"Rs 1,50,75,000 ~ 1 Crore+"
Rajendraprasad Solanki Alias Raju Morthana,BARDOLI (SC),0,Others,17369741, 1174098,AAP,"Rs 1,73,69,741 ~ 1 Crore+"
Ishvarbhai Alias Anilbhai Ramanbhai Parmar,BARDOLI (SC),0,10th Pass,21655555, 2577012,BJP,"Rs 2,16,55,555 ~ 2 Crore+"
Pannaben Anilbhai Patel,BARDOLI (SC),0,10th Pass,22652891, 0,INC,"Rs 2,26,52,891 ~ 2 Crore+"
Mansuri Sahilhushen Ismailbhai,BHARUCH,0,8th Pass,14000, 0,IND,"Rs 14,000 ~ 14 Thou+"
Mirza Abidbeg Yasinbeg,BHARUCH,0,Literate,58500, 8100,IND,"Rs 58,500 ~ 58 Thou+"
Vasava Sureshbhai Gordhandas,BHARUCH,0,5th Pass,2027000, 0,IND,"Rs 20,27,000 ~ 20 Lacs+"
Vasava Bhagatsinh Jesingbhai,BHARUCH,0,Graduate Professional,3620120, 478000,IND,"Rs 36,20,120 ~ 36 Lacs+"
Manharbhai Maganbhai Parmar,BHARUCH,0,12th Pass,13900000, 525000,AAP,"Rs 1,39,00,000 ~ 1 Crore+"
Rameshbhai Narandas Mistry,BHARUCH,2,10th Pass,18600244, 0,BJP,"Rs 1,86,00,244 ~ 1 Crore+"
Jaykantbhai Bahecharbhai Patel,BHARUCH,0,5th Pass,38954297, 800000,INC,"Rs 3,89,54,297 ~ 3 Crore+"
Harsh Jagdishbhai Goklani,BHAVNAGAR EAST,0,12th Pass,204677, 0,IND,"Rs 2,04,677 ~ 2 Lacs+"
Baldev Mavjibhai Solanki,BHAVNAGAR EAST,0,Graduate,732539, 0,INC,"Rs 7,32,539 ~ 7 Lacs+"
Dharamshibhai Ramjibhai Dhapa,BHAVNAGAR EAST,4,10th Pass,3040000, 110000,Vyavastha Parivartan Party,"Rs 30,40,000 ~ 30 Lacs+"
Kishorsinh Bhartsinh Gohil,BHAVNAGAR EAST,2,12th Pass,3910000, 2240000,BSP,"Rs 39,10,000 ~ 39 Lacs+"
Sejalben Rajivkumar Pandya,BHAVNAGAR EAST,0,Graduate,4305247, 0,BJP,"Rs 43,05,247 ~ 43 Lacs+"
Arun Mehta,BHAVNAGAR EAST,0,Graduate,4310000, 0,CPI(M),"Rs 43,10,000 ~ 43 Lacs+"
Hamir Rathod (Master),BHAVNAGAR EAST,4,Graduate,11036312, 5557562,AAP,"Rs 1,10,36,312 ~ 1 Crore+"
Mrudangrajsinh Mulrajsinh Chudasama,BHAVNAGAR EAST,0,Graduate Professional,29245000, 2600000,Right to Recall Party,"Rs 2,92,45,000 ~ 2 Crore+"
Parmar Rajeshkumar P.,BHAVNAGAR RURAL,0,12th Pass,57500, 0,Rashtriya Hind Ekta Dal,"Rs 57,500 ~ 57 Thou+"
Makwana Ashokbhai Gobarbhai,BHAVNAGAR RURAL,0,8th Pass,785000, 0,BSP,"Rs 7,85,000 ~ 7 Lacs+"
Hemantsinh Karansinh Gohil(Hembha),BHAVNAGAR RURAL,0,Literate,3057969, 0,IND,"Rs 30,57,969 ~ 30 Lacs+"
Gohil Khumansinh Natubha,BHAVNAGAR RURAL,0,8th Pass,3394500, 20000,AAP,"Rs 33,94,500 ~ 33 Lacs+"
Gohil Revatsinh Batukbha(Hoidad),BHAVNAGAR RURAL,0,12th Pass,27201225, 13849115,INC,"Rs 2,72,01,225 ~ 2 Crore+"
Parshottambhai O. Solanki,BHAVNAGAR RURAL,3,Others,535208999, 89317000,BJP,"Rs 53,52,08,999 ~ 53 Crore+"
Jayaben Mehulbhai Boricha,BHAVNAGAR WEST,0,8th Pass,3000, 0,IND,"Rs 3,000 ~ 3 Thou+"
Solanki Savitaben Rameshbhai,BHAVNAGAR WEST,0,Illiterate,12000, 0,IND,"Rs 12,000 ~ 12 Thou+"
Shekh Yunusbhai Mohamedzakariya,BHAVNAGAR WEST,0,12th Pass,31000, 0,CPI,"Rs 31,000 ~ 31 Thou+"
Solanki Rajeshbhai Shantilal,BHAVNAGAR WEST,0,Literate,51808, 0,IND,"Rs 51,808 ~ 51 Thou+"
Gopal Najabhai Boliya,BHAVNAGAR WEST,1,10th Pass,70000, 3526,IND,"Rs 70,000 ~ 70 Thou+"
Manharbhai Kanjibhai Rathod,BHAVNAGAR WEST,5,10th Pass,120000, 53264,CPI(M),"Rs 1,20,000 ~ 1 Lacs+"
Rathod Ashokbhai Gambhirbhai,BHAVNAGAR WEST,0,5th Pass,163609, 122700,IND,"Rs 1,63,609 ~ 1 Lacs+"
Yasminben Dilavrbhai Malek,BHAVNAGAR WEST,0,5th Pass,350200, 0,IND,"Rs 3,50,200 ~ 3 Lacs+"
Sarfraj Rustambhai Kureshi,BHAVNAGAR WEST,0,10th Pass,406000, 64091,IND,"Rs 4,06,000 ~ 4 Lacs+"
Dineshbhai Lakhabhai Rathod,BHAVNAGAR WEST,0,Literate,560000, 0,BSP,"Rs 5,60,000 ~ 5 Lacs+"
Mansukhbhai Malubhai Solanki,BHAVNAGAR WEST,0,Literate,605379, 293615,IND,"Rs 6,05,379 ~ 6 Lacs+"
Rajenbhai Shankarbhai Solanki,BHAVNAGAR WEST,0,12th Pass,2040191, 100000,AAP,"Rs 20,40,191 ~ 20 Lacs+"
Baraiya Gobarbhai Kanjibhai,BHAVNAGAR WEST,1,Literate,4533000, 65000,Vyavastha Parivartan Party,"Rs 45,33,000 ~ 45 Lacs+"
Jitendrabhai Savajibhai Vaghani,BHAVNAGAR WEST,4,Graduate Professional,85281993, 21664960,BJP,"Rs 8,52,81,993 ~ 8 Crore+"
Kishorsinh Kumbhajibhai Gohil,BHAVNAGAR WEST,2,10th Pass,97241006, 9833207,INC,"Rs 9,72,41,006 ~ 9 Crore+"
Mehulraj Bharatsinh Rathod,BHUJ,0,8th Pass,54000, 106000,Praja Vijay Paksh,"Rs 54,000 ~ 54 Thou+"
Saiyad Jusabsha Mamadsha,BHUJ,0,5th Pass,309000, 0,BSP,"Rs 3,09,000 ~ 3 Lacs+"
Bhupendra Babulal Joshi,BHUJ,0,5th Pass,340261, 75000,IND,"Rs 3,40,261 ~ 3 Lacs+"
Node Kasam Mohammad,BHUJ,0,5th Pass,457952, 0,Right to Recall Party,"Rs 4,57,952 ~ 4 Lacs+"
Osman Ishabhai Kumbhar,BHUJ,0,Illiterate,565000, 0,IND,"Rs 5,65,000 ~ 5 Lacs+"
Sakil Mahamad Sama,BHUJ,1,12th Pass,1146000, 500000,All India Majlis-E-Ittehadul Muslimeen,"Rs 11,46,000 ~ 11 Lacs+"
Theba Husen Mamad,BHUJ,0,Literate,2125000, 577620,IND,"Rs 21,25,000 ~ 21 Lacs+"
Rajesh Kesara Pindoria,BHUJ,0,12th Pass,5384870, 964669,AAP,"Rs 53,84,870 ~ 53 Lacs+"
Arjan Bhudiya,BHUJ,1,8th Pass,24260519, 1240000,INC,"Rs 2,42,60,519 ~ 2 Crore+"
Keshubhai Shivdas Patel,BHUJ,0,5th Pass,63392215, 1024000,BJP,"Rs 6,33,92,215 ~ 6 Crore+"
Khambhaliya Kishorbhai Ramnikbhai,BOTAD,0,Literate,55000, 0,IND,"Rs 55,000 ~ 55 Thou+"
Meghjibhai Vithalbhai Talsaniya,BOTAD,0,5th Pass,100000, 0,IND,"Rs 1,00,000 ~ 1 Lacs+"
Chauhan Kamleshbhai Arjanbhai,BOTAD,1,5th Pass,146000, 950000,Vyavastha Parivartan Party,"Rs 1,46,000 ~ 1 Lacs+"
Dhadhal Amirajsinh Jagubhai,BOTAD,1,10th Pass,150000, 0,Praja Vijay Paksh,"Rs 1,50,000 ~ 1 Lacs+"
Bavaliya Jayeshbhai Bhagvanbhai,BOTAD,0,5th Pass,810000, 0,IND,"Rs 8,10,000 ~ 8 Lacs+"
Chauhan Champaben Zaverbhai,BOTAD,0,Post Graduate,950000, 0,IND,"Rs 9,50,000 ~ 9 Lacs+"
Chauhan Mulshankarbhai Raghurambhai,BOTAD,0,10th Pass,1009101, 40000,BSP,"Rs 10,09,101 ~ 10 Lacs+"
Mithapara Mukeshkumar Babubhai,BOTAD,0,Post Graduate,2084679, 0,IND,"Rs 20,84,679 ~ 20 Lacs+"
Alpabala Dilipkumar Sabva,BOTAD,0,Post Graduate,4152619, 1672101,IND,"Rs 41,52,619 ~ 41 Lacs+"
Makwana Umeshbhai Naranbhai,BOTAD,0,Graduate Professional,8517847, 2803689,AAP,"Rs 85,17,847 ~ 85 Lacs+"
Patel Sanjaybhai Jadavbhai,BOTAD,0,12th Pass,15536500, 280000,IND,"Rs 1,55,36,500 ~ 1 Crore+"
Moradiya Niteshbhai Purushotambhai,BOTAD,0,12th Pass,36463570, 3183500,Right to Recall Party,"Rs 3,64,63,570 ~ 3 Crore+"
Ghanshyambhai Pragjibhai Virani,BOTAD,0,10th Pass,45886128, 1216539,BJP,"Rs 4,58,86,128 ~ 4 Crore+"
Manharbhai Nagajibhai Patel,BOTAD,0,10th Pass,76707085, 5069265,INC,"Rs 7,67,07,085 ~ 7 Crore+"
Juber Kashim Ansari,CHORYASI,0,Illiterate,100151, 0,SP,"Rs 1,00,151 ~ 1 Lacs+"
Malkhan Ramkishor Varma,CHORYASI,0,8th Pass,127000, 35000,BSP,"Rs 1,27,000 ~ 1 Lacs+"
Shekh Sheru,CHORYASI,1,Illiterate,144500, 76000,IND,"Rs 1,44,500 ~ 1 Lacs+"
Mansuri Aaisha,CHORYASI,0,Literate,418000, 1748710,Log Party,"Rs 4,18,000 ~ 4 Lacs+"
Sattar Pinjari,CHORYASI,0,12th Pass,845000, 462000,IND,"Rs 8,45,000 ~ 8 Lacs+"
Prajapati Roshanlal Pyarelal,CHORYASI,0,5th Pass,1110000, 0,National Maha Sabha Party,"Rs 11,10,000 ~ 11 Lacs+"
Rabari Motibhai Varshibhai,CHORYASI,0,5th Pass,1494856, 558176,Rashtriya Samaj Paksha,"Rs 14,94,856 ~ 14 Lacs+"
Arun Pathak (Gabbar),CHORYASI,4,Others,1917542, 0,IND,"Rs 19,17,542 ~ 19 Lacs+"
Vasava Vinodkumar,CHORYASI,0,Post Graduate,3918800, 62000,Gana Suraksha Party,"Rs 39,18,800 ~ 39 Lacs+"
Chavada Hiteshbhai,CHORYASI,0,Graduate,4840838, 1300000,Sarvodaya Bharat Party,"Rs 48,40,838 ~ 48 Lacs+"
Kantilal Nanubhai Patel,CHORYASI,0,12th Pass,34123950, 2586055,INC,"Rs 3,41,23,950 ~ 3 Crore+"
Sandip Desai,CHORYASI,0,12th Pass,95186681, 1709732,BJP,"Rs 9,51,86,681 ~ 9 Crore+"
Prakashbhai Vinodbhai Contractor,CHORYASI,1,Graduate,136918764, 0,AAP,"Rs 13,69,18,764 ~ 13 Crore+"
Madhar Vinubhai Ramjibhai,CHOTILA,0,5th Pass,75000, 0,IND,"Rs 75,000 ~ 75 Thou+"
Rathod Valjibhai Becharbhai,CHOTILA,0,Literate,680000, 0,IND,"Rs 6,80,000 ~ 6 Lacs+"
Jayesh Hansrajbhai Thakor(Tamboliya),CHOTILA,2,10th Pass,1385000, 2000000,IND,"Rs 13,85,000 ~ 13 Lacs+"
Jigneshkumar Malakiya,CHOTILA,0,Post Graduate,1434856, 373982,IND,"Rs 14,34,856 ~ 14 Lacs+"
Raydhanbhai Gandabhai Kumarkhaniya,CHOTILA,0,5th Pass,3207287, 0,IND,"Rs 32,07,287 ~ 32 Lacs+"
Karpada Rajubhai Merambhai,CHOTILA,3,Graduate Professional,6104712, 2497123,AAP,"Rs 61,04,712 ~ 61 Lacs+"
Bhimabhai Popatbhai Dabhi,CHOTILA,0,Illiterate,7843000, 0,BSP,"Rs 78,43,000 ~ 78 Lacs+"
Makwana Rutvikbhai Lavjibhai,CHOTILA,0,Graduate Professional,13177302, 6300000,INC,"Rs 1,31,77,302 ~ 1 Crore+"
Chauhan Shamajibhai Bhimajibhai,CHOTILA,0,10th Pass,30711771, 3000000,BJP,"Rs 3,07,11,771 ~ 3 Crore+"
Aestarben Kesharbhai Pawar,DANGS (ST),0,10th Pass,210000, 0,IND,"Rs 2,10,000 ~ 2 Lacs+"
Nileshbhai Shivajibhai Zambare,DANGS (ST),1,5th Pass,684800, 0,Bhartiya Tribal Party,"Rs 6,84,800 ~ 6 Lacs+"
Gamit Sunilbhai Chandubhai,DANGS (ST),0,Post Graduate,1478127, 365220,AAP,"Rs 14,78,127 ~ 14 Lacs+"
Patel Mukeshbhai Chandarbhai,DANGS (ST),0,Others,9717340, 705891,INC,"Rs 97,17,340 ~ 97 Lacs+"
Sangitaben Maheshbhai Ahire,DANGS (ST),0,5th Pass,13566747, 716000,BSP,"Rs 1,35,66,747 ~ 1 Crore+"
Vijaybhai Rameshbhai Patel,DANGS (ST),0,10th Pass,19913199, 4412692,BJP,"Rs 1,99,13,199 ~ 1 Crore+"
Solanki Kisanbhai Vajubhai,DASADA (SC),0,10th Pass,200000, 0,BSP,"Rs 2,00,000 ~ 2 Lacs+"
Makwana Ukabhai Amarabhai,DASADA (SC),0,Post Graduate,698701, 0,IND,"Rs 6,98,701 ~ 6 Lacs+"
Anand P Rathod,DASADA (SC),0,Graduate,804000, 0,IND,"Rs 8,04,000 ~ 8 Lacs+"
R.B.Vaghela,DASADA (SC),0,Others,1536000, 625000,IND,"Rs 15,36,000 ~ 15 Lacs+"
Maurya Mitvardhan Naranbhai,DASADA (SC),0,Graduate Professional,1900000, 0,IND,"Rs 19,00,000 ~ 19 Lacs+"
Maheshbhai Virjibhai Rathod,DASADA (SC),0,12th Pass,3290000, 600000,Aadi Bharat Party,"Rs 32,90,000 ~ 32 Lacs+"
P.K.Parmar,DASADA (SC),0,Others,9135468, 1290574,BJP,"Rs 91,35,468 ~ 91 Lacs+"
Arvindbhai Kalubhai Solanki,DASADA (SC),0,8th Pass,29193919, 10683167,AAP,"Rs 2,91,93,919 ~ 2 Crore+"
Naushad Solanki,DASADA (SC),1,Others,110035604, 7787009,INC,"Rs 11,00,35,604 ~ 11 Crore+"
Bahadursing Devjibhai Vasava,DEDIAPADA (ST),2,12th Pass,4410470, 17000,Bhartiya Tribal Party,"Rs 44,10,470 ~ 44 Lacs+"
Chaitarbhai Damjibhai Vasava,DEDIAPADA (ST),8,Graduate,6087000, 0,AAP,"Rs 60,87,000 ~ 60 Lacs+"
Hiteshkumar Devjibhai Vasava,DEDIAPADA (ST),2,12th Pass,9806825, 2200000,BJP,"Rs 98,06,825 ~ 98 Lacs+"
Jermaben Suklal Vasava,DEDIAPADA (ST),0,Post Graduate,13806353, 1850000,INC,"Rs 1,38,06,353 ~ 1 Crore+"
Ganvit Kalpeshbhai Maganbhai,DHARAMPUR (ST),0,10th Pass,257000, 0,IND,"Rs 2,57,000 ~ 2 Lacs+"
Sureshbhai Ballubhai Patel,DHARAMPUR (ST),3,10th Pass,870000, 0,Bhartiya Tribal Party,"Rs 8,70,000 ~ 8 Lacs+"
Kalpesh Patel,DHARAMPUR (ST),4,Graduate Professional,1101235, 0,IND,"Rs 11,01,235 ~ 11 Lacs+"
Barat Anandbhai Dubiyabhai,DHARAMPUR (ST),0,Literate,1555186, 10000,CPI(ML)(L),"Rs 15,55,186 ~ 15 Lacs+"
Kamleshbhai Ghelabhai Patel,DHARAMPUR (ST),1,12th Pass,2350302, 0,AAP,"Rs 23,50,302 ~ 23 Lacs+"
Ratilal Vajirbhai Thakrya,DHARAMPUR (ST),0,8th Pass,3335000, 259470,BSP,"Rs 33,35,000 ~ 33 Lacs+"
Janubhai Dhakalbhai Kakad,DHARAMPUR (ST),0,10th Pass,4186000, 1250000,IND,"Rs 41,86,000 ~ 41 Lacs+"
Kishanbhai V. Patel,DHARAMPUR (ST),2,Graduate,8661771, 5200000,INC,"Rs 86,61,771 ~ 86 Lacs+"
Arvind Chhotubhai Patel,DHARAMPUR (ST),0,Graduate,26665354, 0,BJP,"Rs 2,66,65,354 ~ 2 Crore+"
Parmar Imranbhai Valibhai,DHARI,0,10th Pass,120000, 0,IND,"Rs 1,20,000 ~ 1 Lacs+"
Sureshbhai Dilubhai Parmar,DHARI,1,5th Pass,201000, 0,Rashtriya Power Party,"Rs 2,01,000 ~ 2 Lacs+"
Vijaybhai Amrutbhai Chavda,DHARI,1,5th Pass,560000, 60000,Log Party,"Rs 5,60,000 ~ 5 Lacs+"
Bhupatbhai Chhaganbhai Unava,DHARI,1,Illiterate,868000, 392000,Vyavastha Parivartan Party,"Rs 8,68,000 ~ 8 Lacs+"
Vala Upendrabhai Valkubhai,DHARI,1,10th Pass,3957133, 0,IND,"Rs 39,57,133 ~ 39 Lacs+"
Chaturbhai Parshotambhai Rudani,DHARI,0,5th Pass,6063000, 0,IND,"Rs 60,63,000 ~ 60 Lacs+"
Sojitra Hiteshbhai Gobarbhai,DHARI,0,10th Pass,8254500, 2920000,Rashtriya Hind Ekta Dal,"Rs 82,54,500 ~ 82 Lacs+"
Payal Bhavin Patel,DHARI,0,Others,9548500, 0,JD(S),"Rs 95,48,500 ~ 95 Lacs+"
Satasiya Kantibhai Shambhubhai,DHARI,0,8th Pass,13984607, 5210548,AAP,"Rs 1,39,84,607 ~ 1 Crore+"
Kakadiya Jaysukhbhai Vallabhbhai (Kakadiya J.V.),DHARI,0,Graduate,37524314, 11639519,BJP,"Rs 3,75,24,314 ~ 3 Crore+"
Kirtikumar Kanubhai Borisagar,DHARI,0,Graduate Professional,50672922, 20041389,INC,"Rs 5,06,72,922 ~ 5 Crore+"
Jafar Gani Pinjara,DHORAJI,0,5th Pass,41000, 0,IND,"Rs 41,000 ~ 41 Thou+"
Parmar Sahid (Hedli),DHORAJI,0,8th Pass,41000, 0,IND,"Rs 41,000 ~ 41 Thou+"
Sirajbhai Ababhai Khebhar,DHORAJI,0,12th Pass,50000, 174000,IND,"Rs 50,000 ~ 50 Thou+"
Prabhat Govind Solanki,DHORAJI,0,8th Pass,210000, 40000,BSP,"Rs 2,10,000 ~ 2 Lacs+"
Vipul Sakhiya,DHORAJI,0,10th Pass,5627801, 0,AAP,"Rs 56,27,801 ~ 56 Lacs+"
Lalit Vasoya,DHORAJI,0,12th Pass,25261906, 474800,INC,"Rs 2,52,61,906 ~ 2 Crore+"
Dr. Mahendrabhai Padalia,DHORAJI,0,Doctorate,84216405, 6036778,BJP,"Rs 8,42,16,405 ~ 8 Crore+"
Makwana Shantilal Pamabhai,DHRANGADHRA,0,8th Pass,16700, 0,IND,"Rs 16,700 ~ 16 Thou+"
Parmar Rajuben Ravindrabhai,DHRANGADHRA,0,8th Pass,140000, 0,IND,"Rs 1,40,000 ~ 1 Lacs+"
Chauhan Jerambhai Govindbhai,DHRANGADHRA,0,12th Pass,193000, 0,IND,"Rs 1,93,000 ~ 1 Lacs+"
Makwana Govindbhai Lalabhai,DHRANGADHRA,0,Graduate,604000, 50000,IND,"Rs 6,04,000 ~ 6 Lacs+"
Makwana Ukabhai Amrabhai,DHRANGADHRA,0,Post Graduate,698701, 0,IND,"Rs 6,98,701 ~ 6 Lacs+"
Bobda Nazirhusen Gulabbhai,DHRANGADHRA,0,12th Pass,774000, 0,IND,"Rs 7,74,000 ~ 7 Lacs+"
Samrat Jayraj Prabhubhai,DHRANGADHRA,0,8th Pass,814144, 0,BSP,"Rs 8,14,144 ~ 8 Lacs+"
Vijaykumar Dilipbhai Chavda,DHRANGADHRA,0,8th Pass,850000, 0,IND,"Rs 8,50,000 ~ 8 Lacs+"
Parmar Kanjibhai Govindbhai,DHRANGADHRA,0,10th Pass,1163000, 0,IND,"Rs 11,63,000 ~ 11 Lacs+"
Gunjariya Chhatrasinh Shankarbhai,DHRANGADHRA,6,8th Pass,4778488, 4665598,INC,"Rs 47,78,488 ~ 47 Lacs+"
Vaghjibhai Karshanbhai Kaila,DHRANGADHRA,0,8th Pass,5625000, 1843071,AAP,"Rs 56,25,000 ~ 56 Lacs+"
Surela Laljibhai Khodabhai,DHRANGADHRA,1,Literate,8549500, 1382678,IND,"Rs 85,49,500 ~ 85 Lacs+"
Prakashbhai Parsotambhai Varmora,DHRANGADHRA,0,10th Pass,313558116, 79085542,BJP,"Rs 31,35,58,116 ~ 31 Crore+"
Kishor Khimabhai Chavada,DWARKA,2,5th Pass,231000, 33000,IND,"Rs 2,31,000 ~ 2 Lacs+"
Devendra Fogabha Manek,DWARKA,0,8th Pass,290578, 31227,IND,"Rs 2,90,578 ~ 2 Lacs+"
Parmani Kishankumar Himantlal,DWARKA,3,8th Pass,348500, 67000,Garvi Gujarat Party,"Rs 3,48,500 ~ 3 Lacs+"
Bhagvanji H. Thobhani,DWARKA,1,8th Pass,497500, 131000,IND,"Rs 4,97,500 ~ 4 Lacs+"
Hamir Dadu Der,DWARKA,0,5th Pass,545000, 20000,SP,"Rs 5,45,000 ~ 5 Lacs+"
Hathal Chandrasinh Sadurbha,DWARKA,0,5th Pass,575000, 0,BSP,"Rs 5,75,000 ~ 5 Lacs+"
Ghediya Amit Jagdishbhai,DWARKA,0,Graduate Professional,628000, 0,IND,"Rs 6,28,000 ~ 6 Lacs+"
Lakhmanbhai Boghabhai Nakum,DWARKA,0,10th Pass,1215010, 0,AAP,"Rs 12,15,010 ~ 12 Lacs+"
Nagash Karashanbhai Jeshabhai,DWARKA,0,10th Pass,2452600, 1300000,IND,"Rs 24,52,600 ~ 24 Lacs+"
Asharafmiya Sidikmiya Kadri,DWARKA,0,Graduate Professional,3247887, 400000,IND,"Rs 32,47,887 ~ 32 Lacs+"
Madam Nathabhai Fogabhai,DWARKA,0,10th Pass,6991490, 500000,Gujarat Nav Nirman Sena,"Rs 69,91,490 ~ 69 Lacs+"
Ahir Mulubhai Ranmalbhai Kandoriya,DWARKA,0,Graduate,886050489, 113252947,INC,"Rs 88,60,50,489 ~ 88 Crore+"
Pabubha Virambha Manek,DWARKA,0,Literate,1155897789, 17486700,BJP,"Rs 1,15,58,97,789 ~ 115 Crore+"
Solanki Babubhai Khimjibhai,GADHADA (SC),0,5th Pass,968100, 0,BSP,"Rs 9,68,100 ~ 9 Lacs+"
Jagdishkumar Motilal Chavda,GADHADA (SC),3,12th Pass,3050008, 600000,INC,"Rs 30,50,008 ~ 30 Lacs+"
Rajeshbhai Polabhai Parmar,GADHADA (SC),0,Literate,7080000, 140000,Bhartiya Tribal Party,"Rs 70,80,000 ~ 70 Lacs+"
Parmar Rameshbhai Parbhubhai,GADHADA (SC),0,Graduate,24572410, 0,AAP,"Rs 2,45,72,410 ~ 2 Crore+"
Mahant Shambhunath Tundiya,GADHADA (SC),0,Graduate,48086662, 119600,BJP,"Rs 4,80,86,662 ~ 4 Crore+"
Pankajbhai Lallubhai Patel,GANDEVI (ST),0,10th Pass,1874040, 455000,AAP,"Rs 18,74,040 ~ 18 Lacs+"
Ashokbhai Lallubhai Patel (Karate),GANDEVI (ST),0,10th Pass,4417662, 1125000,INC,"Rs 44,17,662 ~ 44 Lacs+"
Nareshbhai Maganbhai Patel,GANDEVI (ST),0,10th Pass,38117827, 3731260,BJP,"Rs 3,81,17,827 ~ 3 Crore+"
Sondarva Jignasha Maheshbhai,GANDHIDHAM (SC),0,8th Pass,7000, 0,IND,"Rs 7,000 ~ 7 Thou+"
Arvind Ashok Sanghela,GANDHIDHAM (SC),0,Others,22000, 0,Gujarat Sarva Samaj Party,"Rs 22,000 ~ 22 Thou+"
Maheshwari Vanita Dahyalal,GANDHIDHAM (SC),0,Graduate Professional,23500, 0,Sanyukt Vikas Party,"Rs 23,500 ~ 23 Thou+"
Samirbhai Jumabhai Maheshwari,GANDHIDHAM (SC),0,5th Pass,244327, 0,IND,"Rs 2,44,327 ~ 2 Lacs+"
Laljibhai Karabhai Baliya,GANDHIDHAM (SC),1,Literate,258276, 70000,SP,"Rs 2,58,276 ~ 2 Lacs+"
Maurya K. D.,GANDHIDHAM (SC),0,10th Pass,425000, 0,BSP,"Rs 4,25,000 ~ 4 Lacs+"
Malti Kishor Maheshwari,GANDHIDHAM (SC),0,Graduate,5021150, 530090,BJP,"Rs 50,21,150 ~ 50 Lacs+"
